Year Month,ICB plus Code,List Size
202412,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD (QOX)",1013478
202412,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD (QHG)",1146526
202412,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD (QHL),1645619
202412,NHS BLACK COUNTRY INTEGRATED CARE BOARD (QUA),1340962
202412,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD (QUY)",1096430
202412,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD (QU9)",2015133
202412,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD (QUE),1057068
202412,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD (QYG),2801498
202412,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD (QT6),606404
202412,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD (QWU),1118471
202412,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD (QJ2),1142103
202412,NHS DEVON INTEGRATED CARE BOARD (QJK),1299207
202412,NHS DORSET INTEGRATED CARE BOARD (QVV),834354
202412,NHS FRIMLEY INTEGRATED CARE BOARD (QNQ),851888
202412,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD (QR1),695933
202412,NHS GREATER MANCHESTER INTEGRATED CARE BOARD (QOP),3300779
202412,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD (QRL),1972511
202412,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD (QGH),834037
202412,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD (QM7),1663724
202412,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD (QOQ),1815679
202412,NHS KENT AND MEDWAY INTEGRATED CARE BOARD (QKS),2038278
202412,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD (QE1),1870258
202412,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD (QK1)",1235005
202412,NHS LINCOLNSHIRE INTEGRATED CARE BOARD (QJM),826598
202412,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD (QH8),1293440
202412,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD (QMM),1102288
202412,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD (QMJ),1837270
202412,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),3233605
202412,NHS NORTH EAST LONDON INTEGRATED CARE BOARD (QMF),2469564
202412,NHS NORTH WEST LONDON INTEGRATED CARE BOARD (QRV),2903332
202412,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD (QPM),851277
202412,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD (QT1),1285979
202412,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD (QOC)",536931
202412,NHS SOMERSET INTEGRATED CARE BOARD (QSL),608447
202412,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD (QKK),2125665
202412,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD (QWE),1776033
202412,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD (QF7),1529615
202412,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD (QNC),1210640
202412,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD (QJG),1079413
202412,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD (QXU),1150039
202412,NHS SUSSEX INTEGRATED CARE BOARD (QNX),1859038
202412,NHS WEST YORKSHIRE INTEGRATED CARE BOARD (QWO),2703504
202412,England,63778023
202512,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD (QOX)",1013930
202512,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD (QHG)",1149230
202512,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD (QHL),1649478
202512,NHS BLACK COUNTRY INTEGRATED CARE BOARD (QUA),1341538
202512,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD (QUY)",1100187
202512,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD (QU9)",2020069
202512,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD (QUE),1060856
202512,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD (QYG),2811567
202512,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD (QT6),605973
202512,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD (QWU),1124627
202512,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD (QJ2),1145250
202512,NHS DEVON INTEGRATED CARE BOARD (QJK),1299158
202512,NHS DORSET INTEGRATED CARE BOARD (QVV),832637
202512,NHS FRIMLEY INTEGRATED CARE BOARD (QNQ),851891
202512,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD (QR1),699301
202512,NHS GREATER MANCHESTER INTEGRATED CARE BOARD (QOP),3317265
202512,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD (QRL),1971004
202512,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD (QGH),836412
202512,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD (QM7),1669645
202512,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD (QOQ),1817734
202512,NHS KENT AND MEDWAY INTEGRATED CARE BOARD (QKS),2046710
202512,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD (QE1),1877447
202512,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD (QK1)",1237617
202512,NHS LINCOLNSHIRE INTEGRATED CARE BOARD (QJM),828040
202512,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD (QH8),1298564
202512,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD (QMM),1104347
202512,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD (QMJ),1837404
202512,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),3244039
202512,NHS NORTH EAST LONDON INTEGRATED CARE BOARD (QMF),2488873
202512,NHS NORTH WEST LONDON INTEGRATED CARE BOARD (QRV),2942825
202512,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD (QPM),855169
202512,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD (QT1),1289101
202512,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD (QOC)",538653
202512,NHS SOMERSET INTEGRATED CARE BOARD (QSL),607446
202512,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD (QKK),2123369
202512,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD (QWE),1777223
202512,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD (QF7),1529569
202512,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD (QNC),1214812
202512,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD (QJG),1084554
202512,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD (QXU),1150013
202512,NHS SUSSEX INTEGRATED CARE BOARD (QNX),1858908
202512,NHS WEST YORKSHIRE INTEGRATED CARE BOARD (QWO),2704854
202512,England,63957289
