ICB plus Code,BNF Chemical Substance plus Code,Spend per Patient_202412,Spend per Patient_202512,% Spend Change,Items per Patient_202412,Items per Patient_202512,% Items Change,Spend per Item_202412,Spend per Item_202512,% Spend per Item Change
England,Abacavir and lamivudine (0503010Z0),0.0,0.0,-100.0,0.0,0.0,-100.0,11.8524,0.0,-100.0
England,Abiraterone (0803042T0),4.1e-05,8.4e-05,106.8,0.0,0.0,199.2,2598.233793,1796.507362,-30.9
England,Absorbent Cottons (2001),7e-06,7e-06,-1.4,1e-06,1e-06,-2.1,8.652985,8.720099,0.8
England,Acamprosate calcium (0410010A0),0.002272,0.002547,12.1,0.000218,0.000241,10.3,10.406935,10.582813,1.7
England,Acarbose (0601023A0),0.000636,0.000552,-13.2,2.7e-05,2.7e-05,2.4,23.830019,20.206568,-15.2
England,Acebutolol hydrochloride (0204000C0),1.8e-05,1.5e-05,-13.6,1e-06,1e-06,-15.2,28.602204,29.145543,1.9
England,Aceclofenac (100101080),3.7e-05,3.1e-05,-16.3,5e-06,4e-06,-20.8,7.35027,7.765574,5.7
England,Acenocoumarol (0208020H0),0.000113,0.000114,0.8,1.9e-05,1.9e-05,-1.3,5.954789,6.084674,2.2
England,Acetazolamide (1106000B0),0.000764,0.004942,547.1,0.000174,0.000182,4.5,4.396505,27.224564,519.2
England,Acetic acid (1201010B0),0.000426,0.000638,49.7,8.5e-05,0.000127,49.6,5.036426,5.039373,0.1
England,Acetylcysteine (0307000C0),0.004366,0.006228,42.6,0.000464,0.000707,52.4,9.409146,8.807131,-6.4
England,Acetylcysteine (1108010C0),0.003735,0.004093,9.6,3.8e-05,4.1e-05,9.2,98.715141,99.049043,0.3
England,Acetylcysteine (1902070A0),3e-05,6.3e-05,109.5,0.0,1e-06,43.6,77.2364,112.708502,45.9
England,Aciclovir (0503021C0),0.004015,0.003895,-3.0,0.00149,0.001645,10.4,2.694109,2.367123,-12.1
England,Aciclovir (1103030C0),0.000212,0.000255,20.3,5e-06,5e-06,17.5,45.366966,46.452662,2.4
England,Aciclovir (1310030C0),0.000689,0.000772,12.1,0.000109,0.000109,-0.4,6.305915,7.095507,12.5
England,Acipimox (0212000A0),5.5e-05,5.8e-05,6.2,1e-06,2e-06,22.5,42.32579,36.675214,-13.4
England,Acitretin (1305020A0),0.000872,0.000819,-6.0,1.8e-05,1.7e-05,-2.5,49.277533,47.490772,-3.6
England,Aclidinium bromide (0301020R0),0.004343,0.00355,-18.3,0.000124,0.000101,-18.4,35.022762,35.078024,0.2
England,Aclidinium bromide/formoterol (0301040V0),0.007266,0.007136,-1.8,0.000209,0.000205,-1.8,34.800655,34.800885,0.0
England,Acne Treatment (2135),0.0,1e-06,145.4,0.0,0.0,149.3,11.73187,11.549574,-1.6
England,Acrivastine (0304010A0),0.001057,0.000952,-9.9,4.9e-05,4.7e-05,-5.5,21.402105,20.406804,-4.7
England,Adalimumab (1001030S0),4.5e-05,3.4e-05,-24.7,0.0,0.0,39.6,573.812222,309.465257,-46.1
England,Adapalene (1306010H0),0.003006,0.003187,6.0,0.000173,0.000183,5.8,17.366478,17.405266,0.2
England,Adapalene and benzoyl peroxide (1306010Z0),0.009882,0.012559,27.1,0.000451,0.000488,8.1,21.908474,25.75475,17.6
England,Adhesive (Pastes/Sprays/Solutions) (2310),1.7e-05,9e-06,-46.9,1e-06,1e-06,-21.8,21.873843,14.838745,-32.2
England,Adhesive Discs/Rings/Pads/Plasters (2305),0.01904,0.021391,12.3,0.000409,0.000443,8.4,46.590079,48.283227,3.6
England,Adhesive Dressing Remover Ster Silicone (2136),0.000559,0.00061,9.3,2e-05,2.1e-05,3.4,27.342864,28.899531,5.7
