Month,Commissioner / Provider,Practice plus Code,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ALNWICK MEDICAL GROUP (A84006),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,141,2340,6.02564102564103
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BEDLINGTONSHIRE MED.GROUP (A84005),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,114,1055,10.8056872037915
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELFORD MEDICAL PRACTICE (A84008),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,34,616,5.51948051948052
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELLINGHAM PRACTICE (A84027),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,39,419,9.30787589498807
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BRANCH END SURGERY (A84047),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,54,646,8.35913312693498
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BURN BRAE MEDICAL GROUP (A84024),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,102,1166,8.74785591766724
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,COQUET MEDICAL GROUP (A84022),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,109,1309,8.32696715049656
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CORBRIDGE HEALTH CENTRE (A84018),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,75,1018,7.36738703339882
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CRAMLINGTON MEDICAL GROUP (A84025),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,52,467,11.134903640257
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ELSDON AVENUE SURGERY (A84619),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,30,337,8.90207715133531
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,FORUM FAMILY PRACTICE (A84038),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,45,716,6.28491620111732
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GAS HOUSE LANE SURGERY (A84039),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,49,727,6.74002751031637
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GREYSTOKE SURGERY (A84031),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,55,1088,5.05514705882353
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GUIDEPOST MEDICAL GROUP (A84020),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,82,860,9.53488372093023
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HALTWHISTLE MEDICAL GROUP (A84034),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,62,710,8.73239436619718
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT (A84045),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,45,580,7.75862068965517
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HUMSHAUGH & WARK MED GRP (A84040),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,40,385,10.3896103896104
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,MARINE MEDICAL GROUP (A84014),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,71,1060,6.69811320754717
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NETHERFIELD HOUSE (A84037),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,34,489,6.95296523517382
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NORTHUMBERLAND HEALTH (A84029),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,37,452,8.1858407079646
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PONTELAND MEDICAL GROUP (A84007),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,108,1285,8.40466926070039
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PRUDHOE MEDICAL GROUP (A84016),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,59,543,10.865561694291
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RAILWAY MEDICAL GROUP (A84009),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,164,1930,8.49740932642487
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RIVERSDALE SURGERY (A84035),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,62,703,8.81934566145092
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SCOTS GAP MEDICAL GROUP (A84042),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,8,248,3.2258064516129
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SEATON PARK MEDICAL GROUP (A84028),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,168,1630,10.3067484662577
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ADDERLANE SURGERY (A84614),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,8,168,4.76190476190476
