Month,Commissioner / Provider,Practice plus Code,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ALNWICK MEDICAL GROUP (A84006),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,22,350,6.28571428571429
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BEDLINGTONSHIRE MED.GROUP (A84005),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,9,158,5.69620253164557
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELFORD MEDICAL PRACTICE (A84008),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,4,84,4.76190476190476
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELLINGHAM PRACTICE (A84027),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,3,58,5.17241379310345
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BRANCH END SURGERY (A84047),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,5,98,5.10204081632653
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BURN BRAE MEDICAL GROUP (A84024),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,10,210,4.76190476190476
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,COQUET MEDICAL GROUP (A84022),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,10,192,5.20833333333333
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CORBRIDGE HEALTH CENTRE (A84018),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,19,177,10.7344632768362
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CRAMLINGTON MEDICAL GROUP (A84025),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,4,72,5.55555555555556
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ELSDON AVENUE SURGERY (A84619),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,3,47,6.38297872340426
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,FORUM FAMILY PRACTICE (A84038),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,6,118,5.08474576271186
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GAS HOUSE LANE SURGERY (A84039),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,8,121,6.61157024793388
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GREYSTOKE SURGERY (A84031),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,8,212,3.77358490566038
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GUIDEPOST MEDICAL GROUP (A84020),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,2,134,1.49253731343284
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HALTWHISTLE MEDICAL GROUP (A84034),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,9,98,9.18367346938776
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT (A84045),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,3,82,3.65853658536585
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HUMSHAUGH & WARK MED GRP (A84040),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,5,68,7.35294117647059
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,MARINE MEDICAL GROUP (A84014),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,19,198,9.5959595959596
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NETHERFIELD HOUSE (A84037),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,5,77,6.49350649350649
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NORTHUMBERLAND HEALTH (A84029),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,2,42,4.76190476190476
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PONTELAND MEDICAL GROUP (A84007),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,5,180,2.77777777777778
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PRUDHOE MEDICAL GROUP (A84016),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,4,67,5.97014925373134
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RAILWAY MEDICAL GROUP (A84009),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,13,316,4.11392405063291
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RIVERSDALE SURGERY (A84035),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,4,88,4.54545454545455
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SCOTS GAP MEDICAL GROUP (A84042),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,2,28,7.14285714285714
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SEATON PARK MEDICAL GROUP (A84028),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,22,232,9.48275862068966
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ADDERLANE SURGERY (A84614),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,0,25,0
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE GABLES MEDICAL GROUP (A84013),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,13,91,14.2857142857143
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ROTHBURY PRACTICE (A84002),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,5,115,4.34782608695652
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE SELE MEDICAL PRACTICE (A84033),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,10,112,8.92857142857143
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,UNION BRAE & NORHAM PRAC (A84044),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,8,113,7.07964601769912
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VALENS MEDICAL PARTNERSHIP (A84036),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,32,633,5.05529225908373
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VILLAGE MEDICAL GROUP (A84030),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,8,190,4.21052631578947
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WELL CLOSE MEDICAL GROUP (A84026),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,14,231,6.06060606060606
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WHITE MEDICAL GROUP (A84011),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,7,145,4.82758620689655
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WOOLER HEALTH (A84604),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,7,75,9.33333333333333
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ALBERT ROAD SURGERY (A88010),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,4,52,7.69230769230769
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,CENTRAL SURGERY (A88013),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,14,233,6.00858369098712
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,COLLIERY COURT MEDICAL GROUP (A88016),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,2,106,1.88679245283019
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,DR THORNILEY-WALKER & PARTNERS (A88009),Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,Aged 75 and over,3,88,3.40909090909091
