Month,Country,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,194146,4287683,4.52799332413334
Oct-23,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,196018,4317086,4.54051645021665
Nov-23,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,196897,4345207,4.53136064633975
Dec-23,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,195853,4292048,4.56315959187782
Jan-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,200039,4398795,4.54758632761927
Feb-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,191639,4263987,4.49436173234112
Mar-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,192794,4296870,4.48684740287698
Apr-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,197843,4359174,4.53854331118694
May-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,199545,4389982,4.54546282877697
Jun-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,192122,4263453,4.50625349921765
Jul-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,201649,4422052,4.56007753866305
Aug-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,197162,4329249,4.55418480202917
Sep-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,195650,4318037,4.53099406049554
Oct-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,201251,4438541,4.53417012482255
Nov-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,196603,4356897,4.51245462080008
Dec-24,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,198869,4361580,4.55956327752787
Jan-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,202405,4460999,4.53721240466541
Feb-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,188800,4221218,4.47264273013145
Mar-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,196130,4372748,4.48528019451384
Apr-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,194690,4315333,4.51158693894538
May-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,199184,4412707,4.51387323019634
Jun-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,196712,4361867,4.50981196813199
Jul-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,204274,4496195,4.54326380417219
Aug-25,ENGLAND,Percentage of patients prescribed 3 medicines that can have an unintended hypotensive effect,All Ages,194157,4301892,4.51329322075031
