Month,Commissioner / Provider,Practice plus Code,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ALNWICK MEDICAL GROUP (A84006),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,19,4363,0.43548017419207
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BEDLINGTONSHIRE MED.GROUP (A84005),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,22,2112,1.04166666666667
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELFORD MEDICAL PRACTICE (A84008),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1203,0.415627597672485
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BELLINGHAM PRACTICE (A84027),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,832,0.721153846153846
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BRANCH END SURGERY (A84047),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1124,0.444839857651246
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,BURN BRAE MEDICAL GROUP (A84024),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,15,1984,0.756048387096774
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,COQUET MEDICAL GROUP (A84022),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,19,2501,0.759696121551379
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CORBRIDGE HEALTH CENTRE (A84018),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,15,1771,0.846979107848673
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,CRAMLINGTON MEDICAL GROUP (A84025),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,1033,0.871248789932236
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,ELSDON AVENUE SURGERY (A84619),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,660,0.757575757575758
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,FORUM FAMILY PRACTICE (A84038),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,1392,0.646551724137931
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GAS HOUSE LANE SURGERY (A84039),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1399,0.714796283059328
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GREYSTOKE SURGERY (A84031),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1884,0.318471337579618
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,GUIDEPOST MEDICAL GROUP (A84020),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1558,0.641848523748395
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HALTWHISTLE MEDICAL GROUP (A84034),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1276,0.470219435736677
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT (A84045),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,1124,0.622775800711744
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,HUMSHAUGH & WARK MED GRP (A84040),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,756,0.529100529100529
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,MARINE MEDICAL GROUP (A84014),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,23,2012,1.14314115308151
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NETHERFIELD HOUSE (A84037),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,929,0.322927879440258
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NORTHUMBERLAND HEALTH (A84029),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,1009,0.297324083250743
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PONTELAND MEDICAL GROUP (A84007),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,18,2197,0.819299044151115
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,PRUDHOE MEDICAL GROUP (A84016),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1036,0.482625482625483
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RAILWAY MEDICAL GROUP (A84009),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,40,3931,1.01755278555075
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,RIVERSDALE SURGERY (A84035),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1231,1.05605199025183
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SCOTS GAP MEDICAL GROUP (A84042),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,0,457,0
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,SEATON PARK MEDICAL GROUP (A84028),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,39,3266,1.19412124923454
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ADDERLANE SURGERY (A84614),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,1,320,0.3125
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE GABLES MEDICAL GROUP (A84013),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,12,1057,1.1352885525071
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ROTHBURY PRACTICE (A84002),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,1331,0.150262960180316
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE SELE MEDICAL PRACTICE (A84033),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,1186,0.252951096121417
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,UNION BRAE & NORHAM PRAC (A84044),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1510,0.860927152317881
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VALENS MEDICAL PARTNERSHIP (A84036),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,82,8784,0.933515482695811
