Month,Country,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58326,7625874,0.764843478924514
Oct-23,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58656,7675479,0.764199862966207
Nov-23,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,59357,7722783,0.768595984116089
Dec-23,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58924,7692328,0.766009977733659
Jan-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60186,7792064,0.772401253377796
Feb-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,57490,7617034,0.754755722503011
Mar-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,57790,7701537,0.750369698931525
Apr-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,59684,7819041,0.763316115109257
May-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60153,7887781,0.762609915260071
Jun-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,57672,7674043,0.751520417594741
Jul-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60873,7954464,0.765268407777067
Aug-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,59097,7878725,0.75008329393398
Sep-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58438,7779711,0.751159008348768
Oct-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60685,7977695,0.760683380349838
Nov-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58867,7861686,0.74878340345824
Dec-24,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,59904,7922308,0.756143285517301
Jan-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60766,8001183,0.759462694454058
Feb-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,55891,7665539,0.729120287562297
Mar-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58040,7907950,0.73394495412844
Apr-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,58059,7912705,0.733744023061646
May-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,59510,8054255,0.738864115923819
Jun-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,57991,7928761,0.731400530297231
Jul-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,60997,8175826,0.746065290528443
Aug-25,ENGLAND,Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,57159,7932434,0.720573281794718
