Month_dt,Actual Cost,Monthly_Reduction_Ramp,Target_Spend
2020-11-01,94545.03751,,
2020-12-01,99539.19112,,
2021-01-01,92626.23862,,
2021-02-01,85783.66836,,
2021-03-01,99866.69709,,
2021-04-01,96262.93488,,
2021-05-01,92612.83624,,
2021-06-01,99407.6241,,
2021-07-01,94258.89718,,
2021-08-01,92534.58418,,
2021-09-01,91694.00051,,
2021-10-01,93475.42133,,
2021-11-01,93092.51875,,
2021-12-01,97369.11202,,
2022-01-01,94748.18009,,
2022-02-01,85138.37088,,
2022-03-01,100888.692,,
2022-04-01,97621.30536,,
2022-05-01,106491.3896,,
2022-06-01,113531.5673,,
2022-07-01,108062.2969,,
2022-08-01,106225.9206,,
2022-09-01,111182.8633,,
2022-10-01,106831.7389,,
2022-11-01,115010.6177,,
2022-12-01,108606.5345,,
2023-01-01,114265.0783,,
2023-02-01,103475.8642,,
2023-03-01,120938.1305,,
2023-04-01,109461.0314,,
2023-05-01,117243.9789,,
2023-06-01,119920.2759,,
2023-07-01,116949.1747,,
2023-08-01,120510.08,,
2023-09-01,115522.2091,,
2023-10-01,130223.7801,,
2023-11-01,124092.2036,,
2023-12-01,134137.3332,,
2024-01-01,139106.0528,,
2024-02-01,127090.908,,
2024-03-01,121869.7152,,
2024-04-01,139731.3072,,
2024-05-01,125160.3289,,
2024-06-01,115136.9822,,
2024-07-01,121901.9127,,
2024-08-01,92400.37158,,
2024-09-01,81322.24766,,
2024-10-01,78142.67442,,
2024-11-01,83891.49642,,
2024-12-01,80027.55628,,
2025-01-01,99180.43007,,
2025-02-01,91754.19616,,
2025-03-01,95508.85783,,
2025-04-01,94593.97088,,
2025-05-01,107160.8533,,
2025-06-01,107409.1796,,
2025-07-01,111489.087,,
2025-08-01,103847.1989,,
2025-09-01,109105.8989,,
2025-10-01,117251.3129,,
2025-11-01,123066.83561779243,,
2025-12-01,127575.73899888618,,
2026-01-01,132084.64237997995,,
2026-02-01,136593.5457610737,,
2026-03-01,141102.4491421675,,
2026-04-01,145611.35252326124,1938.9743589743591,143672.3781642869
2026-05-01,150120.255904355,3877.9487179487182,146242.30718640628
2026-06-01,154629.15928544878,5816.923076923078,148812.23620852572
2026-07-01,159138.06266654254,7755.8974358974365,151382.1652306451
2026-08-01,163646.9660476363,9694.871794871797,153952.09425276448
2026-09-01,168155.86942873008,11633.846153846156,156522.02327488392
2026-10-01,172664.77280982383,13572.820512820515,159091.9522970033
2026-11-01,177173.67619091758,15511.794871794873,161661.8813191227
2026-12-01,181682.5795720113,17450.769230769234,164231.81034124206
2027-01-01,186191.4829531051,19389.743589743593,166801.7393633615
2027-02-01,190700.3863341989,21328.717948717953,169371.66838548094
2027-03-01,195209.28971529263,23267.692307692312,171941.59740760032
