Year Month,Items,Actual Cost
202011,2688,94545.03751
202012,2873,99539.19112
202101,2700,92626.23862
202102,2505,85783.66836
202103,2946,99866.69709
202104,2825,96262.93488
202105,2738,92612.83624
202106,2968,99407.6241
202107,2889,94258.89718
202108,2813,92534.58418
202109,2816,91694.00051
202110,2935,93475.42133
202111,2906,93092.51875
202112,3102,97369.11202
202201,2970,94748.18009
202202,2733,85138.37088
202203,3219,100888.692
202204,2993,97621.30536
202205,3035,106491.3896
202206,3193,113531.5673
202207,3075,108062.2969
202208,2974,106225.9206
202209,3171,111182.8633
202210,3086,106831.7389
202211,3275,115010.6177
202212,3092,108606.5345
202301,3286,114265.0783
202302,3048,103475.8642
202303,3544,120938.1305
202304,3142,109461.0314
202305,3381,117243.9789
202306,3514,119920.2759
202307,3447,116949.1747
202308,3534,120510.08
202309,3574,115522.2091
202310,3847,130223.7801
202311,3562,124092.2036
202312,3729,134137.3332
202401,3709,139106.0528
202402,3560,127090.908
202403,3520,121869.7152
202404,3768,139731.3072
202405,3429,125160.3289
202406,2936,115136.9822
202407,2871,121901.9127
202408,2077,92400.37158
202409,1772,81322.24766
202410,1619,78142.67442
202411,1754,83891.49642
202412,1675,80027.55628
202501,2120,99180.43007
202502,1945,91754.19616
202503,2222,95508.85783
202504,2294,94593.97088
202505,2629,107160.8533
202506,2685,107409.1796
202507,2774,111489.087
202508,2624,103847.1989
202509,2744,109105.8989
202510,2976,117251.3129
